cardName	textBoxOne	textBoxTwo	startingHealth	typeOne	typeTwo	artCredit	effectOne	effectTwo
Acolyte	DEFEND: -2 Shield -> You or an Ally gets +2 Health.	PLAY: +1 Shield.	4	Defend	Play	Hans Krill \nDominion: Allies \n(Acolyte)	LoseShield, HealAny	AddShield
Angel	DEFEND: You lose 2 Health -> All Allies get +1 Health.	#N/A	3	Defend	None	Magali Villeneuve \nOath of the Gatewatch \n(Linvala, the Preserver)	HurtController, HealAlly, Multiple	""
Archer	DEFEND: -1 Action -> +1 Card.	ATTACK: -4 Sword -> Opponent loses 1 Health per Card you have in hand.	3	Defend	Attack	Harald Lieske \nDominion: Allies \n(Archer)	LoseAction, DrawCard	LoseSword, AttackPlayer, PerHand
Balancer	DEFEND: An Ally gets +3 Health. An Ally loses 3 Health.	ATTACK: A Foe gets +3 Health. A Foe loses 3 Health.	5	Defend	Attack	Bastien L. Deharme \nIxalan \n(Axis of Mortality)	HurtAlly, HealAlly	AttackFoe
Barbarian	ATTACK: -1 Action -> One Foe with 5 Health or more loses 4 Health.	#N/A	4	Attack	None	Julien Delval \nDominion: Allies \n(Barbarian)	LoseAction, AttackFoe	""
Bee	ATTACK: -2 Sword -> One Foe loses 1 Health and becomes Stunned next round.	#N/A	4	Attack	None	Tom Wanerstrand \nTime Spiral \n(Unyaro Bees)	LoseSword, StunCard, AttackFoe	""
Berserker	ATTACK: Opponent loses 3 Health.	PLAY: Next round, -1 Action.	5	Attack	Play	Julien Delval \nDominion: Hinterlands \n(Berserker)	AttackPlayer	LoseNextAction
Bishop	DEFEND: -3 Shield -> An Ally's Health is raised to 4.	#N/A	6	Defend	None	Tommy Arnold \nIxalan \n(Bishop of Rebirth)	LoseShield, HealAlly	""
Blacksmith	DEFEND: -2 Sword and -2 Shield -> +1 Card and +1 Action.	#N/A	4	Defend	None	Julien Delval \nDominion: Allies \n(Blacksmith)	LoseShield, LoseSword, DrawCard, AddAction	""
Bureaucrat	ATTACK: -4 Shield -> Opponent loses 2 Health, and next round they lose 1 Sword and 1 Shield.	#N/A	3	Attack	None	Aaron Miller \nRavnica Allegiance \n(Tithe Taker)	LoseShield, AttackPlayer, LoseNextSword, LoseNextShield	""
Cannon	ATTACK: -5 Sword -> An Opponent or Foe loses 5 Health.	PLAY: This becomes Stunned this round.	7	Attack	Play	Julian Kok Joon Wen \nDominaria United \n(Artillery Blast)	LoseSword, AttackAny	StunCard
Captain	ATTACK: -3 Shield -> An Opponent or Foe loses 1 Health per Ally you have with a Defend ability.	#N/A	5	Attack	None	Julien Delval \nDominion: Plunder \n(First Mate)	LoseShield, AttackAny, PerTroop	""
Coven	DEFEND: -3 Shield -> 3 different Allies each get +1 Health.	ATTACK: -3 Sword -> 3 different Foes each lose 1 Health.	5	Defend	Attack	Claus Stephan \nDominion: Menagerie \n(Coven)	LoseShield, HealAlly, Multiple	LoseSword, AttackFoe, Multiple
Demon	ATTACK: -6 Sword -> Opponent loses 4 Health, and loses 1 Action next round.	PLAY: Each other Ally loses 1 Health.	7	Attack	Play	Vincent Proce \nGuilds of Ravnica \n(Doom Whisperer)	LoseSword, AttackPlayer, LoseNextAction	HurtAlly
Dragon	ATTACK: -6 Sword -> All Foes lose 2 Health.	PLAY: -1 Card.	6	Attack	Play	Josh Hass \nAmonkhet: Invocations \n(Omniscience)	LoseSword, AttackFoe, Multiple	DiscardCard
Farmer	DEFEND: -4 Shield -> Both you and an Ally get +2 Health.	#N/A	5	Defend	None	Sai Beppu \nDominion: Rising Sun \n(Good Harvest)	LoseShield, HealAny	""
Gladiator	ATTACK: -2 Sword -> A Foe with an Attack ability loses 3 Health.	#N/A	4	Attack	None	Keli Stakenas \nDominion: Empires \n(Gladiator)	LoseSword, AttackFoe, TargetAttackCard	""
Golem	ATTACK: If you have 10 Health or less, an Opponent or Foe loses 3 Health.	PLAY: You lose 2 Health.	6	Attack	Play	Svetlin Velinov \nRivals of Ixalan \n(Golden Guardian)	HealthOrLess, AttackAny	HurtController
Guardian	DEFEND: -1 Shield -> You or an Ally gets +1 Health.	PLAY: An Ally becomes Protected this round.	2	Defend	Play	Martin Hoffmann \nDominion: Nocturne \n(Guardian)	LoseShield, HealAny	ProtectCard
